"","Ticker","EPS_ttm","Beta"
"382","PPL",2.44,0.52
"383","PRGO",0.64,1.49
"384","PRU",9.52,1.57
"385","PSA",8.38,0.1
"386","PSX",11.57,1.07
"387","PVH",8.57,1.5
"388","PWR",2.15,1.2
"389","PXD",5.32,1.14
"390","PYPL",2.1,0.97
"391","QCOM",2.84,1.6
"392","QRVO",1.61,0.99
"393","RCL",8.8,1.41
"394","RE",12.55,0.28
"395","REG",1.72,0.47
"396","REGN",17.41,1.09
"397","RF",1.4,1.57
"398","RHI",3.82,1.34
"399","RJF",6.98,1.51
"400","RL",5.75,0.92
"401","RMD",2.85,0.41
"402","ROK",9.1,1.42
"403","ROL",0.69,0.31
"404","ROP",10.59,1.14
"405","ROST",4.4,0.84
"406","RSG",3.23,0.51
"407","RTN",10.82,0.87
"408","SBAC",1.07,0.66
"409","SBUX",2.83,0.54
"410","SCHW",2.65,1.37
"411","SEE",1.72,1.08
"412","SHW",12.35,1.25
"413","SIVB",21.57,2.18
"414","SJM",4.72,0.43
"415","SLB",1.5,1.53
"416","SLG",2.76,1.07
"417","SNA",12.34,1.23
"418","SNPS",4.04,1.21
"419","SO",4.22,0.16
"420","SPG",7.48,0.55
"421","SPGI",7.88,1.05
"422","SRE",6.85,0.43
"423","STI",5.61,1.54
"424","STT",5.42,1.51
"425","STX",7.13,1.62
"426","STZ",2.89,0.72
"427","SWK",5.62,1.4
"428","SWKS",5.17,1.02
"429","SYF",4.8,1.17
"430","SYK",5.24,0.82
"431","SYMC",0.08,1.31
"432","SYY",3.23,0.48
"433","T",2.28,0.61
"434","TAP",4.13,0.79
"435","TDG",13.37,0.96
"436","TEL",9.4,1.17
"437","TFX",5.74,0.98
"438","TGT",5.96,0.53
"439","TIF",4.49,1.61
"440","TJX",2.47,0.66
"441","TMO",8.82,1.15
"442","TMUS",3.83,0.42
"443","TPR",2.1,1.05
"444","TRIP",0.97,1.37
"445","TROW",7.95,1.06
"446","TRV",10.02,0.94
"447","TSCO",4.5,1.01
"448","TSN",6.01,0.46
"449","TTWO",2.64,0.74
"450","TWTR",3.02,0.64
"451","TXN",5.47,1.24
"452","TXT",4.9,1.74
"453","UA",0.19,NA
"454","UAA",0.19,0.6
"455","UAL",9.84,1.17
"456","UDR",0.83,0.39
"457","UHS",8.71,1.07
"458","ULTA",11.81,1.16
"459","UNH",13.32,0.57
"460","UNM",2.49,1.59
"461","UNP",8.42,1.06
"462","UPS",5.47,1.24
"463","URI",13.51,2.68
"464","USB",4.26,1.12
"465","UTX",6.96,1.21
"466","V",5,0.94
"467","VAR",3.69,0.89
"468","VFC",3.08,1.2
"469","VIAB",4,1.39
"470","VLO",6,1.46
"471","VMC",4.24,0.92
"472","VNO",15.03,0.97
"473","VRSK",3.58,0.7
"474","VRSN",7.33,1.04
"475","VRTX",2.52,1.43
"476","VTR",1.23,0.22
"477","VZ",3.83,0.51
"478","WAB",1.75,1.46
"479","WAT",7.79,1.07
"480","WBA",4.92,0.88
"481","WCG",10.44,0.87
"482","WDC",-2.21,1.86
"483","WEC",3.45,0.01
"484","WELL",0.89,0.18
"485","WFC",4.88,1.11
"486","WHR",13.99,1.78
"487","WLTW",6.47,0.83
"488","WM",4.08,0.6
"489","WMB",0.07,1.56
"490","WMT",4.6,0.42
"491","WRK",2.83,1.73
"492","WU",2.83,0.8
"493","WY",0,1.62
"494","WYNN",3.99,2.06
"495","XEC",6.19,1.36
"496","XEL",2.45,0.11
"497","XLNX",3.6,1.25
"498","XOM",4.15,0.99
"499","XRAY",0.46,0.95
"500","XRX",2.4,1.8
"501","XYL",3.21,1.21
"502","YUM",4.09,0.51
"503","ZBH",-1.74,1.14
"504","ZION",4.15,1.56
"505","ZTS",2.82,0.86
