"","Date","Market_Return","Risk_Free"
"98",2015-01-22,0.0147614563228142,-0.000353718934123393
"99",2015-01-23,-0.00549780062999794,0.000472112587274864
"100",2015-01-26,0.00233902294377408,-0.000589701693018085
"101",2015-01-27,-0.0132783603005056,0.000589701693018085
"102",2015-01-28,-0.0129071874500237,0.000706717521516964
"103",2015-01-29,0.00920102862003258,-0.00035353927345394
"104",2015-01-30,-0.0126546172669659,0.0011777586529611
"105",2015-02-02,0.0123080566397995,-0.000317994714831293
"106",2015-02-03,0.0143574897327348,-0.000824880289918895
"107",2015-02-04,-0.00381515013088318,0.000118234056717625
"108",2015-02-05,0.0100445055748999,-0.000353884295565265
"109",2015-02-06,-0.00276906668834886,-0.00236073576014029
"110",2015-02-09,-0.00448593387879637,-0.000117418692093807
